username,n_comments_full,n_comments_truncated,trunc_top1_original_L0,trunc_top3_original_L0,trunc_top1_anonymized_L3,trunc_top3_anonymized_L3,full_top1_original_L0,full_top3_original_L0,full_top1_anonymized_L3,full_top3_anonymized_L3,trunc_top1_L0_ct,trunc_top3_L0_ct,trunc_top1_L3_ct,trunc_top3_L3_ct,full_top1_L0_ct,full_top3_L0_ct,full_top1_L3_ct,full_top3_L3_ct
LollipopLeprechaun,18,18,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
LunarBlossoms,18,18,0.000000,1.000000,0.000000,0.500000,0.500000,1.000000,0.000000,0.500000,0/2,2/2,0/2,1/2,1/2,2/2,0/2,1/2
MidnightMandolin,18,18,0.500000,0.750000,0.500000,0.750000,0.500000,1.000000,0.250000,0.750000,2/4,3/4,2/4,3/4,2/4,4/4,1/4,3/4
OrionOasis,18,18,0.333333,0.333333,0.333333,0.666667,0.333333,0.666667,0.333333,0.666667,1/3,1/3,1/3,2/3,1/3,2/3,1/3,2/3
ShimmerShark,18,18,0.500000,0.500000,0.500000,1.000000,0.500000,1.000000,0.500000,1.000000,1/2,1/2,1/2,2/2,1/2,2/2,1/2,2/2
ShimmyShake,18,18,0.800000,0.800000,0.600000,0.800000,0.600000,0.800000,0.600000,0.800000,4/5,4/5,3/5,4/5,3/5,4/5,3/5,4/5
StardustSombrero,18,18,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0/2,1/2,1/2,1/2,1/2,1/2,1/2,1/2
YetiYacht,18,18,0.200000,0.600000,0.600000,0.600000,0.400000,0.600000,0.400000,0.600000,1/5,3/5,3/5,3/5,2/5,3/5,2/5,3/5
CosmicCuttlefish,17,17,0.500000,0.750000,0.750000,0.750000,1.000000,1.000000,0.250000,0.750000,2/4,3/4,3/4,3/4,4/4,4/4,1/4,3/4
CuteCentaur,17,17,1.000000,1.000000,0.500000,1.000000,1.000000,1.000000,0.500000,0.750000,4/4,4/4,2/4,4/4,4/4,4/4,2/4,3/4
GrittyChrysanthemum,17,17,0.250000,0.750000,0.250000,0.500000,0.500000,0.750000,0.500000,0.500000,1/4,3/4,1/4,2/4,2/4,3/4,2/4,2/4
JazzyJamboree,17,17,0.500000,1.000000,0.500000,0.500000,0.750000,1.000000,0.500000,0.500000,2/4,4/4,2/4,2/4,3/4,4/4,2/4,2/4
MosaicTrance,17,17,1.000000,1.000000,0.000000,0.250000,0.750000,0.750000,0.000000,0.250000,4/4,4/4,0/4,1/4,3/4,3/4,0/4,1/4
SparkSprite,17,17,0.500000,1.000000,0.500000,0.750000,0.500000,1.000000,0.500000,0.500000,2/4,4/4,2/4,3/4,2/4,4/4,2/4,2/4
SunflowerSymphony,17,17,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1/1,1/1,1/1,1/1,1/1,1/1,1/1,1/1
TaurusTraveler,17,17,1.000000,1.000000,0.000000,0.666667,1.000000,1.000000,0.333333,0.666667,3/3,3/3,0/3,2/3,3/3,3/3,1/3,2/3
TerrificTurtle,17,17,0.750000,0.750000,0.250000,0.500000,0.750000,0.750000,0.000000,0.250000,3/4,3/4,1/4,2/4,3/4,3/4,0/4,1/4
TropicalTarantula,17,17,0.750000,1.000000,0.000000,0.500000,1.000000,1.000000,0.000000,1.000000,3/4,4/4,0/4,2/4,4/4,4/4,0/4,4/4
WinterWhisper,17,17,0.666667,1.000000,0.666667,1.000000,0.666667,1.000000,0.666667,0.666667,2/3,3/3,2/3,3/3,2/3,3/3,2/3,2/3
CosmicCarrot,16,16,0.833333,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,1.000000,5/6,6/6,6/6,6/6,6/6,6/6,4/6,6/6
